id	tok	eng	cmn
23298	sina wawa. mi wawa sama.	I'm as strong as you.	
23299	jan ni li pona tawa mi.		我喜欢那个人。
23300	toki pi mute seme li lon ma Elopa?	How many languages are there in Europe?	
23301	supa moku ni li kama tan kasi.	This is a wooden table.	
23302	mi wile e lipu sona.	I want the book.	我想要本书。
23303	sina ken ala ken seli moku?	Can you cook a meal?	
23304	lon ni seme la ni li kama lawa?	Where will it lead?	
23305	pona.	That is right.	这是对的。
23306	mi kepeken e ilo sona.	I'm using the computer.	
23307	mi sona e ijo Tema ni.	I am familiar with this subject.	
23308	"sitelen ""☭"" li sitelen pi nasin pi mani sama."		☭ 是一个共产主义的符号。
23309	jan li kama pakala la ona li pakala e jan.	Hurt people hurt people.	
23310	o kute wawa.	Prick up your ears.	豎起你的耳朵。
23311	mi toki tawa sina.	I talk to you.	
23312	o weka e len lawa.	Take off your cap.	
23313	ona li pana e luka tawa ona.	She shook hands with him.	
23314	jan li pali la pakala kin li ken kama.	When wood is chopped, woodchips will fly.	
23315	sina pona la mi pona.	If you are strong, I am strong.	
23316	sina ken ala pali e ni!	You're not going to get away with this.	
23317	sina pona la mi pona.	If you are strong, I am strong.	
23318	sina pona la mi pona.	If you are strong, I am strong.	
23319	sina toki nasa!	You are talking like a fool.	
23320	kon li kama lete.	The temperature falls.	
23321	mi kama a moku lon open pi tenpo pimeja.		我已經吃晚飯了。
23322	mi mute li kama sona e toki Epanja.	We are learning Spanish.	
23323	mi wile unpa e ona.	I want to have sex with him.	我要和他發生性關係。
23324	ona li ken ala kepeken ilo tawa pi sike tu.	She can't ride a bicycle.	
23325	tan seme?	From where?	
23326	jan Pete li olin e meli ni.	Peter fell in love with the girl.	
23327	meli li sewi e poki suli kepeken luka wan.	The girl lifted the heavy box with one hand.	
23328	mi moku e pan sina la mi kalama musi uta e kalama musi sina.	I sing the song of him whose bread I eat.	
23329	nasin li open.	The road is free.	
23330	soweli li moli.	The mammal is dead.	
23331	lukin mi li pilin pakala.	My eyes hurt.	我眼睛疼。
23332	o tawa tomo pi pona sijelo.	Go to the hospital.	
23333	jan lili li lon ni.	The boy is over there.	男孩子在那里。
23334	mi tawa sewi nena suli.	I climb mountains.	
23335	mi kute e sona. taso mi jo ala e pilin tawa ona.	I hear the message just fine; it's faith that I lack.	
23336	telo li ni: jan li ken lukin insa lon telo.	Water is a transparent liquid.	
23337	soweli li moli.	The mammal is dead.	
23338	kama la mi sitelen insa e ijo akesi ni: jan mute li lon insa ale pi tomo tawa linja, taso jan pi mute ni li lon ala.	The train wasn't as crowded as I thought it would be.	
23339	ni li ilo tenpo. telo li ken ala tawa insa.	This is a waterproof clock.	
23340	suno li suno. taso kon li lete.	Although the sun was out, it was cold.	
23341	ni li pona ala pona?	How is the state of the thing?	
23342	jan sewi li pali e ali.	Allah created the world.	
23343	sina toki e seme?	What do you think?	
23344	mi wile lape ala.	I'm not sleepy.	
23345	sina awen ala e suwi pimeja lon poki lete la, ona li kama telo.		巧克力不放在冰箱里的话会融化的。
23346	o wawa e linja pi len noka sina.		系上鞋带。
23347	o wawa e linja pi len noka sina.	Tie your shoelaces.	系上鞋带。
23348	seme li tan?		是什么原因？
23349	mi pali.	I work.	我工作.
23350	toki sina li ike tawa mi.	I disagree with you.	我不同意你的看法。
23351	mi pali.	I'm working.	
23352	tomo sina li pona lukin a!	Your apartment looks wonderful!	
23353	ali li pini.		天下無不散之筵席。
23354	jan li toki e ni: tenpo ali ala la jan pi mani lili li pilin ike.	It is said that the poor are not always unhappy.	
23355	tan seme la mi mute li sitelen lape?	Why do we dream?	我們為什麼會做夢呀？
23356	sina lukin e seme?	What're you staring at?	
23357	mi wile lukin sin e sina.	I'd like to see you again.	
23358	sina kama ala kama moku lon insa pi tenpo suno?	Have you had lunch yet?	
23359	sina wile jo e meli la o toki suwi tawa meli mama ona.	He who would the daughter win, with the mother must begin.	
23360	tenpo pini la ona li jan pi pilin pona. tenpo ni la ona li jan ala pi pilin pona.	He's no longer the cheerful bloke he once was.	
23361	mi wile kin e ona!	I also want it!	
23362	meli ni li jan seme?	Who's that girl?	那個女孩是誰?
23363	o pona e tomo!	Clean up the room.	收拾房间。
23364	mi lawa e soweli.	I raise cattle.	
23365	sina pona lukin mute.	You look smashing.	
23366	lipu ni li jo e toki pi ma pona mute.	His book is full of utopias.	
23367	tenpo pini la ma tomo Pasen li ike mute tawa jan Ton.	Tom used to hate Boston.	
23368	toki Alapi li pona tawa mi.	I love Arabic.	
23369	ilo pi kalama tawa li pakala. sina ken ala ken pona e ona?	Can you fix the broken radio?	
23370	pona mute a!	Fantastic!	
23371	nimi sina li seme?	What's your name?	
23372	toki Epelanto taso!	Don't use a language other than Esperanto!	
23373	ni li musi lipu Mason.	This is mahjong.	
23374	ona li sin taso.	It's very new.	
23375	mi lukin e tomo tawa telo mute lon ma awen.	We saw a lot of ships in the harbour.	
23376	jan Toni li toki e ni: ni li seme?	'What is that?' asked Tony.	
23377	jan Ton li jan pona mi.	Tom is one of my friends.	
23378	sina jan Sonko anu jan Nijon?	Are you Chinese or Japanese?	
23379	jan Ton li pali sama ni: ona li kute ala.	Tom pretended to not hear a thing.	
23380	o pana e linja lon kasi suli.	Fasten the rope to the tree.	
23381	sina ike tawa jan ali!		沒有人能忍受你！
23382	tenpo ni la ona li lon ala tomo ona.	She isn't at home now.	她現在不在家。
23383	lete li ike tawa mi.	I cannot stand the cold.	
23384	meli li jo e len lawa pona lon lawa ona.	She has got a nice hat on.	
23385	tenpo seme la lipu sina li kama lon esun?	When will your new novel be published?	
23386	mi kin olin e kalama musi.	I love music, too.	
23387	mi jo e mije.	I am married.	
23388	jan ala li ken pana e pona tawa mi.	No one can help me.	谁也不能帮我。
23389	nasin lawa la ni li ken ala.	It's illegal.	
23390	poka lipu li weka lon ni.	There's a page missing.	有一页缺了。
23391	tenpo seme la sina kama sewi tan supa lape?	When are you getting out of bed?	
23392	telo li kama tan sewi anu seme?	It's raining?	在下雨吗？
23393	telo li kama tan sewi anu seme?	Is it raining?	
23394	telo li kama tan sewi anu seme?		在下雨吗？
23395	ona mije li jan pi sona mute.	He's very smart.	
23396	tenpo ale la sina kama lon tenpo pi suli ike.	You are always late.	
23397	tenpo ike li kama la ni li mute li wile kama kulupu.	A misfortune never comes alone.	
23398	ma li sike.	The earth is round.	
23399	ma li sike.	The Earth is round.	
23400	nasin seme la kiwen Maketo li pali?	How do magnets work?	
23401	mi wile toki tawa jan Sokano.	I would like to speak to Johano.	
23402	mi pona sin e supa moku.	I cleared the table.	
23403	soweli tomo li pakala e jan kepeken uta.	The dog bit the man.	
23404	o pana e sitelen ma!	Hand over the map!	
23405	tan ala li kama ala.	From nothing comes nothing.	
23406	sina pali tawa jan seme?	Who do you work for?	
23407	kiwen li kama anpa li sinpin e nasin.	Fallen rocks blocked the way.	
23408	ona li toki e ijo, la o sitelen e ni.		请把他所说的记录下来。
23409	mi toki e ni: ona li jan Mewika.		我們以為他是美國人。
23410	sina jo ala jo e sijelo pona?	Are you healthy?	
23411	jan li toki mute tan sama ona. ni li ken selo kin tawa ona.	To talk about oneself a great deal can also be a means of concealing oneself.	
23412	telo li kama tan sewi anu seme?	It's raining?	
23413	tomo mi li lon poka pi ijo ni.	I live near here.	
23414	o kute e ni!	Listen to this!	
23415	kulupu jan mute li ike tawa mi.	I hate it when there are a lot of people.	
23416	sina sona mute e ni: mi wile toki e seme.	You know exactly what I mean to say.	
23417	selo li suli mute.	Shape is very important.	
23418	mu, pona.	Well, okay!	
23419	mi wile e lipu sona.	I want a book.	
23420	sina wile ala wile jan pali mi? sina wile ala wile tawa lon nasin sama mi?	Do you want to be my servant and follow me?	
23421	tenpo sin la jan Ton li jo ala e mani. ona li ken ala kama jo e lipu wawa pi tomo tawa kulupu lon esun.	Tom is completely skint again. He can't even afford his bus fare.	
23422	ona li lukin jo e jan lili ona. taso meli ni li ken ala lukin e ona.	She looked for her children, but couldn't find them anywhere.	
23423	jan ala li kama jo e sina tan ni: soweli tawa li tawa pi wawa mute. kon tawa li tawa pi wawa lili.	Nothing will catch you, because that horse runs faster than the wind.	
23424	ike a!		不会吧。
23425	ilo toki ni li ijo pi mani mute a.	This mobile phone is really expensive.	
23426	mi o tawa insa tomo.	Let's get in the house.	
23427	mi mu pi pilin musi.	We laughed.	
23428	mi pini e pali. nasin ni la sama la mi ken tawa tomo.	We've finished the work, so we may as well go home.	
23429	tu li weka tan luka luka li sama luka tu wan.	Ten minus two is eight.	
23430	o lukin e tomo tawa sin mi.	Look at my new car.	
23431	tenpo li pona e sijelo ike ale.	Time heals all wounds.	
23432	tenpo ni la ale li pona.	Let's forget it.	
23433	jan li sona mute la nimi wan li mute pona.	A word to the wise is enough.	
23434	o weka e ona!	Forget that!	
23435	tan pali ike mi seme la jan li anpa ni e mi?	What have we done to be punished like this?	
23436	mi lape lon tenpo ni: jan Ma li kama.	When Marcus arrived, I was sleeping.	
23437	nimi mi li Jatalo.	My name is Yatarou.	
23438	nimi sina li seme?		你們叫什麼名字？
23439	jan li kama lon pakala la mi wile pana e moku en len tawa ona.	We must provide the victims with food and clothes.	
23440	ala lili la tomo tawa li moli e mi.	I narrowly escaped being run over by a car.	
23441	mi telo e luka mi.	I wash my hands.	我洗手。
23442	sina nimi seme e ni?	What do you call that?	
23443	sina kama lon ni, la o awen lon tenpo lili.	When you get there, wait for a while.	
23444	jan li wile moku e jan.	Man is a wolf to man.	
23445	jan ala li ike.	No human being is illegal.	
23446	jan ale pi tenpo kulupu musi ni li lukin mute tawa len ona.	Her dress attracted everyone's attention at the party.	
23447	sina pona tawa mi.	I like you.	我喜欢你。
23448	mani li kama lili ike lon mi.	We've run short of money.	
23449	nimi mi li Ton.	My name's Tom.	
23450	nimi mi li Ton.	My name is Tom.	我叫湯姆。
23451	o tawa ala insa pi tomo mi.	Don't come into my room.	
23452	jan tawa li kama pona lon jan pi ma Sasali.	The Algerians are a hospitable people.	
23453	ona li suli mute, mije lili ante ale li suli lili.	He is bigger than all the other boys.	
23454	pini ni li pona ala pona tawa sina?	Are you satisfied with the result?	
23455	seme li pali musi sina?	What's your hobby?	你的爱好是什么？
23456	seme li pali musi sina?	What's your hobby?	
23457	seme li pali musi pi sina mute?	What's your hobby?	
23458	kon li lete la ni li ike mute tawa jan Ton.	Tom hates it when it's cold.	
23459	meli mi li jan pi ma Sonko.	My wife is Chinese.	我老婆是中国人。
23460	pilin pona li seme?	What is happiness?	
23461	wile mi la ni li kama tawa jan ala.	I wish that on no one.	
23462	tawa seme la ni li kepeken?	What's this for?	这有什么用？
23463	jan ala li sona e ni.	Nobody knew that.	
23464	ona li lon ala.	She's not here.	
23465	ali li ken.	Anything's possible.	
23466	ali li ken.	Everything is possible.	
23467	tenpo sin ala la jan Ton li wile toki tawa jan Mali.	Tom doesn't want to talk to Mary ever again.	
23468	mama meli mi li pali.	My mother is active.	我母亲很活跃。
23469	sina ken kepeken e ilo toki ni.		您可以使用此电话。
23470	sina toki lon toki Katala anu seme?	Do you speak Catalan?	你會講加泰隆尼亞文嗎?
23471	ona li jo e mani mute.	He has a lot of money.	他有很多钱。
23472	pona.	Thank you!	
23473	pona.	Thank you!	
23474	mama tu mi li moli.	My parents are dead.	
23475	sina pana lili e mani tawa mi anu seme?	Will you lend me some money?	
23476	mi lukin e jan moli.	I see dead people.	
23477	ona li pali tan pilin insa.	She's acting on instinct.	
23478	telo seme li pona mute tawa sina?	What's your favorite drink?	你最喜欢的饮料是什么？
23479	jan Ton li toki wawa e ni: kepeken uta la ona li ken pilin e ante lon ko sin walo tu ni.	Tom claims that he can taste the difference between these two brands of salt.	
23480	o toki ala.	Don't say anything.	
23481	o kepeken tomo tawa kulupu.	Catch a bus.	
23482	o kepeken tomo tawa kulupu.	Take a bus.	
23483	sijelo mi li pona.	I am in good health.	
23484	sina pana ala pana e telo loje?	Do you have any bleeding?	
23485	sina ken kama anu seme?	Can you come?	你能來嗎？
23486	sina mute li ken ala ken kama?	Can you come?	
23487	tenpo ni la mi sona e ale.	Now it's all clear to me.	
23488	o lukin pali e ona lon tenpo sin.	Try it again.	再试一下。
23489	sina wile pali.	You must do work.	
23490	ona li wan telo pi pilin ike.	She's crying.	
23491	tenpo ni la mi mute li kama e ni.	We have arrived.	
23492	sina wile pali.	You must work.	
23493	kala mute li kama moli.	Many fish died.	
23494	mi lape ala lape tawa sina?	Am I annoying you?	
23495	ona mije li kama tawa sin.	He turned around.	
23496	ona li walo ala walo?	Is it white?	
23497	mi ken ala ken open e poki?	May I open a can?	
23498	mi ken ala ken open e poki?	May I open a can?	
23499	moku li lete.	The food is cold.	這食物是冷的。
23500	tenpo pini la sina tawa lon seme?	Where have you gone?	
23501	sina sona ala sona e ni: mi toki e seme?	Can you comprehend what I am saying?	
23502	o kama wile e jan.	Choose one person.	
23503	o kama wile e jan.	Choose one person.	
23504	o seli e sike mama waso tawa mi.	Fry an egg for me.	
23505	o seli e sike mama waso tawa mi.	Fry an egg for me.	
23506	ni li kama nasin seme?	How could this happen?	
23507	ona li kama jo e tenpo musi lon tenpo suno wan.	He took a day off.	
23508	ni li pona ala tawa mi.	I don't like this.	我不喜欢。
23509	mi pilin ike tan telo nasa pi tenpo suno pini.	I'm hungover.	我宿醉了。
23510	pilin pakala li weka.	The pain has gone.	
23511	sitelen lawa pi jan Ton li loje.	Tom's face is red.	汤姆的脸红了。
23512	sina mute kin li tawa ni anu seme?	Are you going, too?	
23513	mi kama jo e ilo sin pi sitelen suno.	I got a new camera.	
23514	jan Ton li moku mute e telo nasa la tenpo suno kama la ona li pilin ike.	Tom has a hangover.	
23515	o tawa ala sewi kepeken luka.	Don't climb on this!	
23516	o tawa ala pi luka sina lon sewi.	Don't climb on this!	
23517	o tawa ala sewi kepeken luka.	Don't climb on this!	
23518	jan pi kama sona li kama mute lili.	The number of pupils is falling.	
23519	o kama ala sinpin.	Please don't get up.	請別起來。
23520	ijo pi sona wawa li lon ala.	There's no evidence.	
23521	o toki ala sama ni.	Don't talk like that.	不要这样说。
23522	kili sike loje anu kili linja jelo li pona mute tawa sina?	What do you like most - apples or bananas?	
23523	sina ala lon ni la tan ni: mi mute li pilin ike.	We all have missed you.	
23524	ona li pana e ilo open tawa ona meli.	She handed the key to her.	
23525	mi ken ala ken kepeken e supa sitelen pi sina mute?	Could I use your desk?	
23526	sina lon seme?	Where art thou?	
23527	ona li lon nasin tawa esun.	He's away on business.	
23528	nimi mi li Ton.	My name's Tom.	
23529	o ken e weka mi!	Let me out.	
23530	sina ken ala ken kama?	Can you come?	
23531	mi kama sona e toki Seki.	I am learning Czech.	
23532	jan Palanpu li kipisi e moku suwi li tu e ona.	Pharamp cut the cake in two.	
23533	ona li pona lukin.	It's beautiful.	
23534	telo li tawa.	A river flows.	
23535	sina sona e pilin mi.	You know my opinion.	
23536	mi alasa e pipi. ona li pona lukin.	I caught a beautiful butterfly.	我抓到一隻漂亮的蝴蝶。
23537	mi mute o tawa.	Let's go!	我們走吧!
23538	o pana ala e telo lukin tan pilin ike!	Don't cry!	别哭。
23539	mi sona wawa.	I'm certain.	
23540	ona li luka kiwen e ona.	She hit him.	她打了他。
23541	mi jan sona ala.	I'm not an expert.	
23542	wawa pi kon tawa li kama lili a.	The typhoon has lost its power.	
23543	tenpo ni la jan Muka li jo e sike suno mute.	Muiriel is 20, now.	
23544	ona li kute e mu pi soweli tomo lon weka.	She heard a dog barking in the distance.	
23545	o kepeken ala luka tawa meli lili mi.	Keep your hands off my daughter!	
23546	ni li nasa kin. ni li nasin taso.	Though this be madness, yet there is method in't.	
23547	len ma ni li pona ala. o kepeken e len pona.	The flag is not right. Please change it.	
23548	sina wile ala wile e suwi tawa telo pimeja seli sina?	Do you take sugar with your coffee?	
23549	sina wile ala wile moku?	Do you feel like eating?	
23550	sina wile ala wile moku?	Do you feel like eating?	
23551	ona li ken kepeken e toki Nijon.	She can speak Japanese.	
23552	tenpo pini poka la mi ante e tomo mi.	I just moved.	
23553	mi sona taso e ni.	Apart from that, I don't know anything.	
23554	mije ni li jo e meli sama tu.		他有兩個姐妹。
23555	meli ni li jo e meli sama tu.	She has two sisters.	
23556	mi wile e len supa namako.	We want a new carpet.	
23557	jan ali li jan moli lon tenpo kama.	Every man is a potential corpse.	
23558	"tenpo pimeja la mije li tawa sama akesi lon poka nasin lon poka pi suno nasin. jan wan li tawa lon poka. ona li toki e ni tawa mije: ""ijo li kama weka tan sina anu seme?"" ""kama. nena len li kama weka."" ""sina sona ala sona kin e ni: ona li kama weka lon ni?"" ""ala. ona li kama weka lon monsi lili ni. taso suno mute li lon ni. monsi lili la suno lili li lon."""	"It is night when a man crawls along the sidewalk near a traffic light. ""Have you lost something by chance?"" a passerby asked him. ""Yes, a button from a shirt."" ""Are you sure you've lost it right here?"" ""No, a little further back. But here there's more light to help me find it."""	
23559	kon pimeja li lon la seli kin li lon.	Where there is smoke, there is fire.	
23560	mi wile e ala.	I don't want anything.	我啥都不想要。
23561	ni li tomo pi kiwen kasi.	This is a wooden house.	
23562	jan seme li wile kama jo e mani mute.		谁想当百万富翁？
23563	sina wile kepeken e mani tawa seme?	Then what do you need the money for?	你要这钱干嘛？
23564	jan ale li olin e jan Mewi.	Maria is respected by everyone.	
23565	sitelen anu nanpa?	Head or tail?	
23566	tenpo suno ali la jan ni li lukin e lipu ni la jan ni li kama nasa kin.	Whoever reads this so-called newspaper every day will inevitably go daft.	
23567	mi moku ala e soweli e sike mama waso kin.		猪肉，牛肉，鸡蛋我都不吃。
23568	mi moku ala e moku soweli e sike waso.		猪肉，牛肉，鸡蛋我都不吃。
23569	tomo pi sitelen tawa li jo ala e jan.	The theater is empty.	
23570	sina sitelen e lipu pi sitelen lape anu seme?	Do you keep a dream diary?	
23571	ona mute li sona e mi mute.	They know us.	
23572	mi ken tawa lon telo.	I can swim.	
23573	jan Ton li kama loje.	Tom turned red.	汤姆的脸红了。
23574	jan Ton li kama loje.	Tom turned red.	
23575	suno li lon sewi.	The sun is in the sky.	
23576	mi toki ala kepeken toki Inli.	I don't speak English.	
23577	mi toki ala kepeken toki Inli.	I do not speak English.	
23578	mi toki ala kepeken toki Inli.	I do not speak English.	
23579	mi toki ala kepeken toki Inli.	I do not speak English.	
23580	ona li jo e sike suno pi mute seme? sina pilin e seme?	How old do you think she is?	
23581	lipu pi kasi suli li kama loje.	The leaves are turning red.	
23582	o kute e ni!	Listen to this!	听这个！
23583	mi wile tawa wawa.	We're in a hurry.	我們很急。
23584	jan Ton en jan Mewi li lon tomo tawa telo sama.	Tom and Mary are in the same boat.	
23585	ni li mute pona ala.	This is not enough.	
23586	mi pali lon tenpo pimeja.		我在晚上工作。
23587	ona li pona lukin.	He's attractive.	
23588	tenpo mute la mi mute li tawa ni.	We often go there.	
23589	tenpo seme la sina mute li kama sona?	When do you study?	
23590	kiwen uta seme li pana e pilin pakala?	Which tooth hurts?	哪顆牙痛？
23591	sina kepeken sike musi anu seme?	Do you play football?	你踢足球嗎?
23592	moku li kama lete.	The food is getting cold.	
23593	tenpo suno ni la, mi pilin pona mute. tenpo suno pini la, mi pilin pona lili.		我今天感覺比昨天好。
23594	o pana e ijo sama tawa lukin mi.	Show me an example.	
23595	seme li lon ni?	What is over there?	
23596	mi mute o wile tawa seme?	Where should we go?	
23597	seli moku li pona ala pona tawa sina?	Do you like cooking?	你喜欢做菜吗？
23598	ona meli li awen olin e ona mije.	She still loves him.	
23599	lipu wawa pi jan tawa Ton li awen ala wawa tan ni: ona li awen lon ma ante lon tenpo pi suli ike.	Tom has overstayed his visa.	
23600	sina olin e mi tan seme?		你为什么喜欢我？
23601	mi ken ala ken open e ilo pi sitelen tawa?	Can I turn on the TV?	我能开电视吗？
23602	tenpo seli la o pilin suwi.	Have fun this summer!	
23603	o pilin suwi e tenpo seli.	Have fun this summer!	
23604	mi ali li pilin pona.	We're all happy.	
23605	mi ali li pilin pona.	We're all happy.	
23606	o linja e len noka sina.		系上鞋带。
23607	tan seme la mi kama jo e ni?	What did I do to deserve that?	
23608	o pana ala e pilin kiwen tawa mi.	Don't misbehave.	
23609	mi o musi a!	Let's party.	
23610	ona li toki suli e ni: ona li pana e sike pi palisa luka tawa mi.	She's promised to give me a ring.	
23611	tomo tawa telo li lon ma pi tomo tawa telo.	The ship is at the port.	
23612	sina kama jo e ona lon esun kepeken tawa seme?	What did you buy it for?	
23613	sina wile lukin e jan seme?	Who're you looking for?	你在找誰？
23614	jan lili ale li sona e ni.	Any child knows that.	
23615	jan lili ale li sona e ni.	Any child knows that.	
23616	soweli li moli.	The dog's dead.	
23617	ni li wile ala wile: sina moku e telo nasa loje?	Do you need to drink wine?	
23618	mi pipi li wile moku.	I am a hungry spider.	
23619	mi wile tawa musi.	I want to dance.	
23620	mi wile tawa musi.		我想跳舞。
23621	sina nasa!	You're mad!	
23622	o lukin tawa mi!	Look at me.	
23623	mi o tawa!	Let's move.	
23624	ona li suli mute e ni: sina lon ni.	It is vital that you be present.	
23625	mi suli.		我長得高。
23626	ken la sina wile sona e ni.	This might interest you.	
23627	tenpo pimeja pini la mi moku ala.	I didn't eat dinner last night.	
23628	mi wile tawa musi.	I want to dance.	
23629	kon walo sewi li lon ala sewi.		天上一朵雲也沒有。
23630	ona li jo e jan sama pi mute seme?	How many brothers and sisters do you have?	
23631	jan li lon insa tomo.	There's somebody in the house.	
23632	mi kepeken poki. mi kepeken ilo moku.	I'm using a bowl and a spoon.	
23633	sina jo e tomo ni anu seme?	Are you the owner of this house?	
23634	mi pilin e ni: ilo tawa ni li ijo pi jan Ton.	I think this motorbike belongs to Tom.	
23635	ona li kama ala kama?	Has he come?	
23636	lukin la jan Ton li pilin pona.	Tom seems really happy.	汤姆看起来非常开心。
23637	o pilin ike ala tan ni.	Don't be disappointed.	不要失望。
23638	mi wile kama jo lili e tomo tawa kulupu lon esun.	I wanted to hire a coach.	
23639	jan li kepeken toki seme lon ma Mewika?	What language is spoken in the USA?	
23640	ma tomo Ankala la, mi toki e ni: ma Mewika en nasin sewi Silami li utala ala. mi mute li utala lon tenpo ala. taso mi mute li utala e jan nasa pi nasin sewi lon tenpo ali. jan nasa ni li wile moli e mi mute.	In Ankara, I made clear that America is not – and never will be – at war with Islam. We will, however, relentlessly confront violent extremists who pose a grave threat to our security.	
23641	"mi mute li ken toki e nimi ""ala"" tawa ma Mewika anu seme?"	"Can we say ""No"" to America?"	
23642	ni li tomo pi kiwen kasi.	This is a wooden house.	
23643	mi olin e meli.	I'm a lesbian.	
23644	jan li lon insa tomo.	There's somebody in the house.	
23645	sina seli pona mute.	She cooks very well.	
23646	mije lili li wile moku e telo.	The boy is thirsty.	
23647	ken la telo sewi li kama.	There is a high chance of precipitation.	
23648	tan tenpo tawa tenpo la ona li sitelen e lipu tawa mi.		他有时会给我写信。
23649	ni li pana e pilin utala a!	How annoying!	真烦人。
23650	sina sona ala sona?	Are you sure?	你确定？
23651	mi o pali e ni.	Let's do that.	
23652	mi weka e ike sina.		我原谅你。
23653	soweli mute li kalama.		狗会叫。
23654	nasin ale li ni!	That's life!	
23655	ni li musi ala.	It isn't a joke.	不是說笑的。
23656	mi mute li lukin e ona.	We have seen it.	
23657	"mi kepeken e ilo ""soweli loje seli""."	I use Firefox.	
23658	o tawa ala!	Stop moving.	
23659	ike li kama ala tan nasin ilo, taso ike li kama tan jan ni: ona li kepeken ike e ona.	Evil comes not from technique, but from those who abuse it.	
23660	wile sona li ni: jan o kama wile e seme?	The question is which to choose.	
23661	tenpo ni la jan Muka li jo e sike suno mute.	Muiriel is 20, now.	
23662	o pona tawa jan ante.	You should be kind to others.	
23663	toki sina li lon ala.	You're lying!	你在撒谎。
23664	ona li moku e telo nasa pan.	He drank beer.	
23665	tenpo suli nanpa luka luka wan la mi tawa supa lape.	I go to bed at eleven.	我十一点上床。
23666	suno mi li suli lili. mun ante mute li lon li suli mute.	There exist several stars which are larger than our Sun.	
23667	sina nasa!	You must be mad.	
23668	jan ali li wile pilin pona.	Everybody desires happiness.	
23669	tenpo kulupu musi li pona mute.	That was a great party.	
23670	mi wile lape, taso mi ken ala lape.	I was tired, but I couldn't sleep.	
23671	sike ni pi palisa luka li awen ala suno.	This ring has lost its glitter.	
23672	mama mama mije mi li toki e nimi lili lon tenpo suli mute.		我的祖父说话非常慢。
23673	ona li moku taso e kili.	He eats nothing other than fruit.	
23674	mi moku.	I'm eating.	
23675	mi kama sona e toki Tuki.	I learn Turkish.	
23676	ilo pi sitelen suno li open ala.	The projector doesn't work.	
23677	sina pali e ni la mi tu li jan pona ala.	If you do that, we'll no longer be friends.	
23678	ken la toki lon li pana e pilin ike mute. toki pi lon ala li pana e pilin ike lili.		真相可能比谎言更令人痛苦。
23679	sina pona la mi pona.	If you are strong, I am strong.	
23680	telo walo li ike lon uta.	The milk tasted bad.	
23681	o pilin utala ala tan ni.	No, don't worry about it.	
23682	mi wile lukin e nena suli seli.	I want to see a volcano.	我想看火山！
23683	mi kama sona e toki pona.	I am learning Toki Pona.	
23684	mi kama sona e toki pona.	I am learning Toki Pona.	
23685	soweli lili pi kute suli pi selo walo li jo e selo pi pona lukin.	Snow hares have a nice fur.	
23686	soweli lili pi kute suli pi selo walo li jo e selo pi pona lukin.	Snow hares have a nice fur.	
23687	jan lili laso li toki lon toki seme?	Which language do smurfs speak?	
23688	soweli tomo pimeja li moku e soweli walo lili.		黑猫在吃白鼠
23689	ona li tawa weka poka mani lon ni.	He ran away with the money.	他携款潜逃。
23690	o nasa ala.	Cut the shenanigans!	
23691	o pana e lipu sina tawa lukin.	Show your cards.	
23692	o kama open.	Begin!	
23693	sitelen tawa li pona ala pona tawa sina?	Do you like movies?	
23694	mi pana e pona tawa jan pi sike suno mute tan ni: ona li wile tawa poka nasin ante.	I helped an old lady across.	
23695	sin lili anu seme?	A little more?	
23696	mi jan Samu.	I am Samuel.	
23697	tawa kulupu mama ona la jan Ton li ike.	Tom is the black sheep of his family.	
23698	tenpo ni la mi lukin sona e ni: mi awen ala sona e ijo.	I've just realised I've forgotten something.	
23699	toki! tenpo suno kama pona!	Hi! Good morning!	你好啊！早上好！
23700	o pana e moku tawa waso.	Feed the bird!	
23701	lon pi kon pi jan moli li ken ala e ni: pini jan la awen jan sin li lon. kon pi jan moli li ken tan nasin sin.	Ghost existence does not prove that there's life after death. They can be elements of another dimension.	
23702	sama tawa sina.	The same to you.	
23703	mi kama sona e toki Nijon.	I am learning Japanese.	我正在學日文。
23704	tawa tenpo seme la sina awen lon?	Until when are you staying?	
23705	o linja e len noka sina.	Tie your shoes.	
23706	sina moku ala moku e ike?	Did you eat anything bad?	
23707	sina mute li jo e tomo lon seme?	Where do all of you live?	
23708	mi pilin wawa e lon pi toki ona ale.	I believe whatever he says.	
23709	toki Epelanto li kama pona.	Esperanto will succeed.	
23710	seme li sin?	What's new?	
23711	tan seme? mi sona ala.	I don't know why.	
23712	tan seme? mi sona ala.	I don't know why.	
23713	sina lukin nasa musi e mi anu seme?	Are you taking the piss?	你是在跟我開玩笑吧？！
23714	pona a!	Nice!	
23715	pona a!	Nice!	
23716	toki!	Hey!	
23717	ni li seme?	What's this?	
23718	sina mute li jo e tomo lon seme?	Where do all of you live?	
23719	jan Mali anu sina o tawa weka!	Either Mary or you is to go.	
23720	ni li sitelen ma.	This is a map.	
23721	ona li pilin pona mute.	He laughed a merry laugh.	
23722	mi wile e palisa utala!		我要一把剑！
23723	o pini!	Stop!	停下！
23724	meli lili ona li jan pi pona sijelo.		他们的女儿是护士。
23725	ni li tomo tawa pi jan seme?	Whose car is that?	這是誰的車？
23726	sitelen ona li pona tawa mi.	I like their pictures.	
23727	ona li toki ike lon kalama.	He complained about the noise.	他抱怨這個噪音。
